Construct;TimePoint;Conductivity;Leaf
CP105 + RX-NES;0;10;B
CP105 + RX;0;13;B
CP105 + RX;0;8;B
CP105 + RX;0;10;B
CP106 + RX-NLS;1;25;B
CP106 + RX-NLS;1;30;B
CP106 + RX-NLS;1;22;B
CP106 + RX-NES;1;29;B
CP106 + RX-NES;1;42;B
CP106 + RX-NES;1;32;B
CP106 + RX;1;77;B
CP106 + RX;1;82;B
CP106 + RX;1;90;B
CP105 + RX-NLS;1;18;B
CP105 + RX-NLS;1;40;B
CP105 + RX-NLS;1;21;B
CP105 + RX-NES;1;16;B
CP105 + RX-NES;1;14;B
CP105 + RX-NES;1;13;B
CP105 + RX;1;19;B
CP105 + RX;1;13;B
CP105 + RX;1;15;B
CP106 + RX-NLS;2;46;B
CP106 + RX-NLS;2;51;B
CP106 + RX-NLS;2;41;B
CP106 + RX-NES;2;50;B
CP106 + RX-NES;2;73;B
CP106 + RX-NES;2;65;B
CP106 + RX;2;137;B
CP106 + RX;2;133;B
CP106 + RX;2;195;B
CP105 + RX-NLS;2;27;B
CP105 + RX-NLS;2;44;B
CP105 + RX-NLS;2;28;B
CP105 + RX-NES;2;21;B
CP105 + RX-NES;2;20;B
CP105 + RX-NES;2;20;B
CP105 + RX;2;28;B
CP105 + RX;2;24;B
CP105 + RX;2;23;B
CP106 + RX-NLS;3;104;B
CP106 + RX-NLS;3;101;B
CP106 + RX-NLS;3;78;B
CP106 + RX-NES;3;92;B
CP106 + RX-NES;3;125;B
CP106 + RX-NES;3;117;B
CP106 + RX;3;151;B
CP106 + RX;3;162;B
CP106 + RX;3;210;B
CP105 + RX-NLS;3;35;B
CP105 + RX-NLS;3;31;B
CP105 + RX-NLS;3;31;B
CP105 + RX-NES;3;26;B
CP105 + RX-NES;3;24;B
CP105 + RX-NES;3;21;B
CP105 + RX;3;39;B
CP105 + RX;3;34;B
CP105 + RX;3;34;B
CP106 + RX-NLS;4;170;B
CP106 + RX-NLS;4;163;B
CP106 + RX-NLS;4;116;B
CP106 + RX-NES;4;124;B
CP106 + RX-NES;4;170;B
CP106 + RX-NES;4;171;B
CP106 + RX;4;180;B
CP106 + RX;4;177;B
CP106 + RX;4;240;B
CP105 + RX-NLS;4;38;B
CP105 + RX-NLS;4;48;B
CP105 + RX-NLS;4;35;B
CP105 + RX-NES;4;32;B
CP105 + RX-NES;4;26;B
CP105 + RX-NES;4;26;B
CP105 + RX;4;53;B
CP105 + RX;4;52;B
CP105 + RX;4;48;B
